Frame	Time	SMPTE	BKHD X	BKHD Y	BKHD Z	RFHD X	RFHD Y	RFHD Z	LFHD X	LFHD Y	LFHD Z	C7 X	C7 Y	C7 Z	NCK X	NCK Y	NCK Z	RSHD X	RSHD Y	RSHD Z	LSHD X	LSHD Y	LSHD Z	RELB X	RELB Y	RELB Z	LELB X	LELB Y	LELB Z	RWRS X	RWRS Y	RWRS Z	LWRS X	LWRS Y	LWRS Z	RIND X	RIND Y	RIND Z	LIND X	LIND Y	LIND Z	RPNK X	RPNK Y	RPNK Z	LPNK X	LPNK Y	LPNK Z	RFHP X	RFHP Y	RFHP Z	RBHP X	RBHP Y	RBHP Z	LFHP X	LFHP Y	LFHP Z	LBHP X	LBHP Y	LBHP Z	RKNE X	RKNE Y	RKNE Z	LKNE X	LKNE Y	LKNE Z	RFAK X	RFAK Y	RFAK Z	RBAK X	RBAK Y	RBAK Z	LFAK X	LFAK Y	LFAK Z	LBAK X	LBAK Y	LBAK Z
1	0.000000	00:00:00:01	-27.979619	1.669600	-1.224959	-27.937036	1.686659	-1.110468	-28.079047	1.677535	-1.162244	-28.001330	1.548164	-1.159011	-27.990322	1.562476	-1.146092	-28.153387	1.554817	-1.176019	-27.861618	1.549665	-1.152538	-27.961530	1.532974	-0.876729	-27.981093	0.766538	-1.586752	-27.778689	1.538106	-0.579269	-28.101297	-0.031249	-2.060284	-27.765788	1.562697	-0.568032	-28.075814	-0.010115	-2.051970	-27.791286	1.566347	-0.574872	-28.112824	-0.031579	-2.076362	-28.182999	1.019363	-1.130099	-28.189039	0.970387	-1.175949	-27.805463	0.979220	-1.089678	-27.812224	0.986521	-1.131205	-28.174869	0.480710	-1.167448	-27.852057	0.451708	-1.084210	-28.175669	-0.059318	-1.124283	-28.180014	-0.058131	-1.181809	-27.836389	-0.028654	-1.089830	-27.818206	-0.075799	-1.136346
2	0.013894	00:00:00:02	-28.011185	1.640735	-1.247912	-27.939772	1.683606	-1.099328	-28.082271	1.655502	-1.136197	-28.000601	1.551418	-1.157067	-27.993408	1.554352	-1.136805	-28.134399	1.570999	-1.176065	-27.860781	1.562267	-1.151684	-27.953004	1.555588	-0.867428	-28.006165	0.766382	-1.604682	-27.749625	1.543816	-0.580115	-28.104436	-0.048721	-2.049675	-27.757872	1.550831	-0.560499	-28.084746	-0.053030	-2.076691	-27.749537	1.525545	-0.558334	-28.064334	-0.006836	-2.064404	-28.184080	0.984076	-1.123154	-28.170433	0.991119	-1.189019	-27.848264	0.996959	-1.086996	-27.820435	0.950187	-1.145237	-28.176570	0.472960	-1.161687	-27.828449	0.457312	-1.095747	-28.191872	-0.042447	-1.099781	-28.164886	-0.044541	-1.164578	-27.833542	-0.042105	-1.055930	-27.831598	-0.061501	-1.125643
3	0.027788	00:00:00:03	-27.991007	1.630386	-1.235978	-27.952456	1.684295	-1.109431	-28.052794	1.674922	-1.130532	-27.996578	1.567807	-1.147259	-28.011335	1.538915	-1.113927	-28.141297	1.561898	-1.170102	-27.848785	1.549815	-1.133468	-27.950233	1.554546	-0.895752	-27.984946	0.753061	-1.615225	-27.767562	1.577483	-0.571052	-28.107528	-0.027067	-2.073332	-27.770800	1.542770	-0.573976	-28.102999	-0.026629	-2.050082	-27.772438	1.536238	-0.577519	-28.100023	-0.022860	-2.048531	-28.167833	1.009783	-1.106178	-28.192340	0.978771	-1.211732	-27.838155	1.025345	-1.082401	-27.826005	0.976858	-1.159853	-28.195197	0.463626	-1.161897	-27.823227	0.485420	-1.095081	-28.180727	-0.014203	-1.113378	-28.166294	-0.047858	-1.175525	-27.834917	-0.021336	-1.059533	-27.834698	-0.080277	-1.135074
4	0.041682	00:00:00:04	-28.014803	1.653021	-1.218039	-27.938808	1.669680	-1.129245	-28.047727	1.687633	-1.143716	-27.971071	1.527831	-1.185275	-27.979192	1.572641	-1.125057	-28.149164	1.560374	-1.185075	-27.856365	1.542361	-1.121378	-27.971427	1.565855	-0.881534	-27.970459	0.771452	-1.594812	-27.749446	1.533784	-0.564719	-28.097321	-0.047285	-2.070251	-27.765847	1.554389	-0.574494	-28.082845	-0.033529	-2.066045	-27.752633	1.555344	-0.588326	-28.085094	-0.051506	-2.070020	-28.201983	0.993432	-1.153216	-28.188271	0.975575	-1.171893	-27.819171	1.025294	-1.083121	-27.820442	0.980962	-1.127492	-28.179311	0.461896	-1.136091	-27.827161	0.482704	-1.097258	-28.193119	-0.024126	-1.098889	-28.178592	-0.052342	-1.179188	-27.819127	-0.032450	-1.066494	-27.812660	-0.048503	-1.136920
5	0.055576	00:00:00:05	-27.982872	1.653231	-1.272190	-27.955646	1.680564	-1.118458	-28.059702	1.680728	-1.149927	-27.999302	1.525608	-1.153938	-28.004912	1.557036	-1.108856	-28.144191	1.545640	-1.185489	-27.834549	1.548568	-1.160767	-27.967762	1.530079	-0.892262	-27.964133	0.746944	-1.609282	-27.757834	1.516773	-0.599446	-28.100525	-0.032800	-2.058533	-27.748665	1.557261	-0.580998	-28.084168	-0.036279	-2.072878	-27.746031	1.517943	-0.587064	-28.061081	-0.020156	-2.048869	-28.186860	1.001540	-1.136688	-28.193620	0.947993	-1.187436	-27.821007	0.997611	-1.081504	-27.832928	0.957221	-1.134998	-28.170206	0.460143	-1.144318	-27.832313	0.481639	-1.123809	-28.188491	-0.054827	-1.094511	-28.186550	-0.043159	-1.169919	-27.794621	-0.014109	-1.070011	-27.814189	-0.038458	-1.156102
6	0.069470	00:00:00:06	-27.975194	1.638959	-1.243814	-27.932854	1.678180	-1.125940	-28.057167	1.678709	-1.121493	-27.991387	1.548899	-1.149596	-27.999814	1.570593	-1.112718	-28.149521	1.564085	-1.186152	-27.867943	1.583071	-1.162225	-27.961722	1.555063	-0.864862	-28.005639	0.737926	-1.599125	-27.756026	1.538452	-0.568137	-28.097965	-0.023160	-2.075845	-27.753219	1.558726	-0.568876	-28.074302	-0.045533	-2.084573	-27.780927	1.519332	-0.550890	-28.107318	-0.042388	-2.042807	-28.159098	0.986332	-1.141274	-28.181082	0.975029	-1.211131	-27.845342	0.979565	-1.087507	-27.816766	0.952319	-1.129626	-28.184994	0.450205	-1.172289	-27.856529	0.463433	-1.119387	-28.183185	-0.026182	-1.126809	-28.173715	-0.062682	-1.189157	-27.854641	-0.044187	-1.069497	-27.808167	-0.063682	-1.130852
7	0.083364	00:00:00:07	-28.000245	1.646323	-1.253225	-27.958921	1.663673	-1.133021	-28.059678	1.658749	-1.116875	-28.000915	1.565076	-1.158725	-28.000262	1.553099	-1.118211	-28.164942	1.565247	-1.176970	-27.858241	1.572173	-1.140281	-27.960111	1.578327	-0.896606	-27.949290	0.771989	-1.611226	-27.771156	1.548626	-0.583054	-28.108342	-0.053964	-2.055651	-27.756285	1.555704	-0.562541	-28.104745	-0.015084	-2.051677	-27.765383	1.532089	-0.578474	-28.093832	-0.018360	-2.030324	-28.202033	0.999518	-1.145818	-28.177807	0.981666	-1.162101	-27.839822	1.013491	-1.047453	-27.821227	0.952562	-1.134338	-28.152098	0.471739	-1.133443	-27.815591	0.465239	-1.124852	-28.180454	-0.007219	-1.121441	-28.177259	-0.073925	-1.184681	-27.818154	-0.038262	-1.058328	-27.824776	-0.051419	-1.124423
8	0.097258	00:00:00:08	-28.007820	1.639859	-1.230731	-27.945782	1.689127	-1.140453	-28.068459	1.679854	-1.131811	-27.988260	1.573322	-1.159527	-28.008359	1.581323	-1.136233	-28.156791	1.560843	-1.167493	-27.857390	1.560366	-1.165019	-27.975356	1.547541	-0.872365	-27.975100	0.785098	-1.605434	-27.773526	1.548371	-0.582926	-28.095389	-0.038530	-2.041974	-27.724806	1.563350	-0.581488	-28.101643	-0.040059	-2.063885	-27.766379	1.539155	-0.587156	-28.108224	-0.039259	-2.048560	-28.195083	0.983268	-1.121065	-28.193055	0.978207	-1.171177	-27.827575	1.013358	-1.074501	-27.820441	0.959373	-1.176207	-28.184003	0.466896	-1.161011	-27.828803	0.478166	-1.114413	-28.188865	-0.046570	-1.115402	-28.145533	-0.061286	-1.152952	-27.845394	-0.037972	-1.094222	-27.826175	-0.052215	-1.122354
9	0.111152	00:00:00:09	-27.998681	1.653323	-1.264033	-27.947197	1.684945	-1.103995	-28.033730	1.680006	-1.142446	-28.010143	1.562929	-1.131169	-28.023156	1.580870	-1.123841	-28.147741	1.535453	-1.189236	-27.842795	1.559309	-1.160988	-27.944213	1.562426	-0.893059	-28.003508	0.756622	-1.613283	-27.771707	1.536214	-0.551296	-28.073126	-0.043522	-2.081975	-27.767706	1.539204	-0.560962	-28.067322	-0.057999	-2.091889	-27.741468	1.565661	-0.556190	-28.075624	-0.038721	-2.090847	-28.196351	1.015956	-1.116487	-28.197870	0.956893	-1.209468	-27.822846	0.986572	-1.081336	-27.808505	0.984539	-1.144567	-28.199482	0.460887	-1.121834	-27.828647	0.498216	-1.092164	-28.194660	-0.020008	-1.109339	-28.164729	-0.021650	-1.152785	-27.799667	-0.048986	-1.071926	-27.819507	-0.052316	-1.111066
10	0.125046	00:00:00:10	-27.980042	1.630824	-1.246987	-27.953813	1.692853	-1.096280	-28.073112	1.661087	-1.106041	-27.978363	1.564306	-1.129567	-28.014247	1.571214	-1.115936	-28.132686	1.570842	-1.165147	-27.869967	1.563644	-1.119156	-27.947850	1.554143	-0.896412	-27.974907	0.761001	-1.603937	-27.787969	1.532718	-0.566502	-28.084612	-0.032118	-2.055333	-27.732680	1.542539	-0.571973	-28.093502	-0.043780	-2.044228	-27.784675	1.553261	-0.584406	-28.100779	-0.058103	-2.046835	-28.173048	0.976583	-1.118844	-28.167593	0.958193	-1.169682	-27.842933	0.998694	-1.090899	-27.805361	0.977416	-1.120723	-28.183699	0.479102	-1.158173	-27.821400	0.483415	-1.080380	-28.196035	-0.029997	-1.091882	-28.179303	-0.056460	-1.162646	-27.827072	-0.029289	-1.072558	-27.822156	-0.043606	-1.100980
