Frame	Time	SMPTE	BKHD X	BKHD Y	BKHD Z	RFHD X	RFHD Y	RFHD Z	LFHD X	LFHD Y	LFHD Z	C7 X	C7 Y	C7 Z	NCK X	NCK Y	NCK Z	RSHD X	RSHD Y	RSHD Z	LSHD X	LSHD Y	LSHD Z	RELB X	RELB Y	RELB Z	LELB X	LELB Y	LELB Z	RWRS X	RWRS Y	RWRS Z	LWRS X	LWRS Y	LWRS Z	RIND X	RIND Y	RIND Z	LIND X	LIND Y	LIND Z	RPNK X	RPNK Y	RPNK Z	LPNK X	LPNK Y	LPNK Z	RFHP X	RFHP Y	RFHP Z	RBHP X	RBHP Y	RBHP Z	LFHP X	LFHP Y	LFHP Z	LBHP X	LBHP Y	LBHP Z	RKNE X	RKNE Y	RKNE Z	LKNE X	LKNE Y	LKNE Z	RFAK X	RFAK Y	RFAK Z	RBAK X	RBAK Y	RBAK Z	LFAK X	LFAK Y	LFAK Z	LBAK X	LBAK Y	LBAK Z
1	0.000000	00:00:00:01	-27.995426	1.669603	-1.227697	-27.940186	1.707304	-1.110559	-28.076528	1.704229	-1.122470	-28.002237	1.591331	-1.163149	-28.014781	1.590439	-1.121237	-28.157698	1.540925	-1.166577	-27.852157	1.574545	-1.132285	-27.959712	1.560849	-0.866539	-27.964279	0.772691	-1.593051	-27.775048	1.540288	-0.575869	-28.092856	-0.017868	-2.059390	-27.767289	1.570523	-0.550402	-28.071154	-0.028174	-2.057075	-27.762215	1.551505	-0.568207	-28.078256	-0.022069	-2.067021	-28.170199	1.008012	-1.117998	-28.193782	0.987415	-1.183945	-27.817241	1.020623	-1.091554	-27.820409	1.005877	-1.163067	-28.185706	0.477133	-1.167257	-27.827484	0.494449	-1.104308	-28.193656	-0.021711	-1.109440	-28.178222	-0.029325	-1.178620	-27.825885	-0.015230	-1.064874	-27.815398	-0.039552	-1.126026
2	0.013893	00:00:00:02	-27.985772	1.649479	-1.240275	-27.938187	1.695770	-1.115833	-28.058014	1.701345	-1.132779	-28.007785	1.557495	-1.163543	-28.006460	1.598371	-1.118280	-28.140774	1.578567	-1.172066	-27.858795	1.582625	-1.144390	-27.966686	1.564517	-0.866877	-27.985757	0.773970	-1.600132	-27.764431	1.568377	-0.593364	-28.095149	-0.032137	-2.061190	-27.793082	1.555314	-0.578132	-28.095124	-0.023639	-2.057481	-27.771949	1.555639	-0.590277	-28.086453	-0.029782	-2.075462	-28.183144	1.001936	-1.142563	-28.182250	0.984431	-1.168640	-27.824942	0.997976	-1.101823	-27.831838	0.964062	-1.128876	-28.171732	0.488407	-1.159682	-27.810357	0.487451	-1.111729	-28.177525	-0.028452	-1.114645	-28.173711	-0.037129	-1.167789	-27.831000	-0.013308	-1.067794	-27.817949	-0.055485	-1.118862
3	0.027787	00:00:00:03	-27.985214	1.650420	-1.237889	-27.940795	1.686337	-1.099046	-28.077074	1.692408	-1.125419	-27.999635	1.565361	-1.154043	-27.993618	1.586341	-1.118222	-28.153117	1.555966	-1.163461	-27.853486	1.546952	-1.154432	-27.958789	1.580463	-0.873619	-27.989857	0.780276	-1.597989	-27.781091	1.564511	-0.581549	-28.102403	-0.014368	-2.069033	-27.764127	1.539416	-0.574361	-28.088076	-0.017056	-2.065865	-27.772106	1.565408	-0.571664	-28.080940	-0.014669	-2.081152	-28.186163	1.022619	-1.133999	-28.171646	0.986742	-1.185485	-27.841449	1.022359	-1.088152	-27.831948	0.997503	-1.147385	-28.163281	0.473404	-1.140748	-27.826215	0.493046	-1.113799	-28.207221	-0.018056	-1.104205	-28.187363	-0.057273	-1.162970	-27.832036	-0.042816	-1.065908	-27.816737	-0.051623	-1.123436
4	0.041680	00:00:00:04	-27.997666	1.677340	-1.236172	-27.930975	1.675818	-1.127256	-28.055296	1.680964	-1.129799	-28.009118	1.568071	-1.156759	-28.008778	1.580475	-1.138361	-28.151129	1.563908	-1.172751	-27.836784	1.561735	-1.145764	-27.964030	1.559345	-0.879974	-27.982127	0.784483	-1.607705	-27.769467	1.553048	-0.574407	-28.106210	-0.030810	-2.062065	-27.764020	1.565041	-0.565597	-28.084294	-0.013384	-2.069775	-27.766232	1.548394	-0.582906	-28.095022	-0.017838	-2.076378	-28.172619	1.009080	-1.131090	-28.184962	0.983600	-1.169653	-27.820688	1.011324	-1.092272	-27.823581	0.983325	-1.148500	-28.184262	0.456178	-1.139213	-27.820623	0.491723	-1.109068	-28.179993	-0.018153	-1.114264	-28.184768	-0.034684	-1.162195	-27.826250	-0.030597	-1.084841	-27.824759	-0.024429	-1.120362
5	0.055573	00:00:00:05	-27.981143	1.652607	-1.246246	-27.949306	1.698575	-1.109411	-28.076190	1.701730	-1.141992	-27.992719	1.567984	-1.156710	-28.016837	1.578981	-1.123172	-28.144139	1.575966	-1.194680	-27.850961	1.592454	-1.149931	-27.952801	1.558528	-0.869095	-27.961287	0.773609	-1.609921	-27.762901	1.569902	-0.567470	-28.097878	-0.014582	-2.068034	-27.767113	1.566153	-0.558414	-28.098142	-0.027980	-2.065013	-27.779235	1.556603	-0.590774	-28.086301	-0.023927	-2.070198	-28.190385	1.017059	-1.130927	-28.182218	0.982617	-1.189162	-27.821340	1.030298	-1.091251	-27.808112	0.976010	-1.161565	-28.190218	0.471733	-1.141937	-27.837872	0.485327	-1.101518	-28.190454	-0.029122	-1.108753	-28.190804	-0.040823	-1.151523	-27.832572	-0.024455	-1.081634	-27.816895	-0.058340	-1.129115
6	0.069466	00:00:00:06	-28.002003	1.660326	-1.238276	-27.950343	1.691238	-1.122824	-28.055595	1.691608	-1.134003	-28.002495	1.558569	-1.149227	-28.003130	1.594714	-1.123177	-28.142828	1.573124	-1.174071	-27.860533	1.574387	-1.140372	-27.950339	1.551462	-0.883892	-27.983258	0.773006	-1.589529	-27.745198	1.549752	-0.560847	-28.104361	-0.035480	-2.047042	-27.755464	1.570566	-0.570143	-28.077230	-0.024882	-2.064860	-27.747479	1.558518	-0.552202	-28.108778	-0.008616	-2.061970	-28.189823	1.013646	-1.132672	-28.178784	0.991855	-1.195366	-27.828859	1.011346	-1.086722	-27.830547	0.990527	-1.147871	-28.167283	0.479006	-1.131304	-27.833094	0.500041	-1.101231	-28.190401	-0.025679	-1.116972	-28.190766	-0.033894	-1.164569	-27.831979	-0.002222	-1.084817	-27.824419	-0.048338	-1.121494
7	0.083360	00:00:00:07	-27.997730	1.660010	-1.237657	-27.940957	1.687133	-1.130512	-28.060535	1.681958	-1.136905	-28.006024	1.579080	-1.154194	-28.009902	1.585447	-1.127617	-28.160689	1.567106	-1.167684	-27.863900	1.575528	-1.132671	-27.942442	1.565806	-0.871285	-27.979513	0.781561	-1.611534	-27.769432	1.551228	-0.589902	-28.091694	-0.013674	-2.064214	-27.760753	1.555525	-0.563534	-28.090096	-0.005326	-2.059203	-27.761644	1.558375	-0.584682	-28.101004	-0.012740	-2.067656	-28.180453	0.997966	-1.133597	-28.194237	0.982074	-1.199657	-27.837522	1.007109	-1.103331	-27.818241	1.001348	-1.126372	-28.181681	0.479525	-1.171255	-27.823873	0.483167	-1.104721	-28.194804	-0.044484	-1.109597	-28.179462	-0.032895	-1.166794	-27.837502	-0.010735	-1.077129	-27.832083	-0.028602	-1.123393
8	0.097253	00:00:00:08	-28.010012	1.654074	-1.233490	-27.948353	1.701181	-1.122303	-28.049637	1.694436	-1.138136	-28.009110	1.568217	-1.154634	-28.004325	1.580997	-1.121087	-28.128987	1.566149	-1.176907	-27.840944	1.566249	-1.129876	-27.970971	1.569649	-0.871775	-27.967597	0.784163	-1.604590	-27.764288	1.564376	-0.576656	-28.096925	-0.009528	-2.057411	-27.754565	1.551622	-0.569618	-28.101540	-0.018710	-2.054231	-27.758502	1.552475	-0.556646	-28.102103	-0.019626	-2.058311	-28.205600	1.004652	-1.117476	-28.167100	0.976032	-1.187195	-27.830134	1.001039	-1.109084	-27.811347	1.000785	-1.150331	-28.192688	0.480728	-1.141895	-27.824807	0.484982	-1.118561	-28.196661	-0.025490	-1.107210	-28.170443	-0.046094	-1.153058	-27.824765	-0.022664	-1.056773	-27.808875	-0.048169	-1.120912
9	0.111146	00:00:00:09	-27.985972	1.651917	-1.245325	-27.960913	1.680679	-1.107349	-28.059239	1.694883	-1.126701	-28.002954	1.581310	-1.156094	-28.003137	1.586984	-1.136783	-28.153683	1.592157	-1.203414	-27.846881	1.565304	-1.127327	-27.957567	1.560999	-0.876520	-27.970648	0.774293	-1.622588	-27.784995	1.547644	-0.577092	-28.095895	-0.032560	-2.058818	-27.773996	1.546323	-0.566525	-28.091302	-0.020919	-2.072666	-27.767275	1.564632	-0.565342	-28.072763	-0.035175	-2.066796	-28.179300	1.007654	-1.133400	-28.177380	1.001210	-1.184466	-27.838354	1.020812	-1.102726	-27.829494	0.982373	-1.138175	-28.184344	0.485718	-1.158640	-27.829854	0.482646	-1.082372	-28.174813	-0.014090	-1.097555	-28.164387	-0.056850	-1.164396	-27.848594	-0.009598	-1.071204	-27.817160	-0.045046	-1.113324
10	0.125039	00:00:00:10	-27.991591	1.659025	-1.223484	-27.956560	1.692517	-1.112388	-28.056449	1.711209	-1.120027	-28.018574	1.572588	-1.157888	-27.989697	1.581749	-1.118360	-28.170745	1.565410	-1.163786	-27.853951	1.586763	-1.148508	-27.955642	1.568191	-0.869027	-27.974711	0.773311	-1.595756	-27.755514	1.543132	-0.567046	-28.105972	-0.010534	-2.059144	-27.759838	1.533856	-0.573385	-28.075968	-0.028301	-2.038494	-27.756712	1.545798	-0.576880	-28.090463	-0.017692	-2.074612	-28.185214	1.001242	-1.143054	-28.177297	1.001842	-1.183323	-27.830468	0.999517	-1.074969	-27.831622	0.982857	-1.143435	-28.180771	0.495169	-1.142510	-27.839695	0.493051	-1.102988	-28.165939	-0.027454	-1.122331	-28.179259	-0.027877	-1.179717	-27.834638	-0.014143	-1.075397	-27.818901	-0.034485	-1.130001
11	0.138933	00:00:00:11	-27.982099	1.638516	-1.227143	-27.938280	1.707362	-1.119434	-28.063269	1.689203	-1.131082	-28.011258	1.582856	-1.157803	-27.992885	1.560350	-1.126930	-28.154759	1.567405	-1.163722	-27.861274	1.555849	-1.137670	-27.939394	1.578267	-0.879005	-27.992284	0.769249	-1.611243	-27.752638	1.557936	-0.571818	-28.090957	-0.022964	-2.068644	-27.761966	1.560591	-0.567010	-28.095960	-0.018321	-2.070176	-27.769399	1.555463	-0.575507	-28.079678	-0.000740	-2.071573	-28.165198	0.998547	-1.145986	-28.178411	0.971394	-1.194432	-27.840747	1.020100	-1.092235	-27.818882	1.000046	-1.166195	-28.170341	0.487937	-1.139214	-27.836582	0.485649	-1.099644	-28.195681	-0.027759	-1.111441	-28.177413	-0.036038	-1.166276	-27.820055	0.000046	-1.067499	-27.814209	-0.040948	-1.117333
12	0.152826	00:00:00:12	-27.990200	1.658486	-1.230809	-27.936595	1.702480	-1.125137	-28.054123	1.700972	-1.126665	-28.005102	1.561789	-1.168052	-28.011755	1.579061	-1.135977	-28.138636	1.566559	-1.165506	-27.849433	1.569346	-1.163980	-27.966703	1.565359	-0.874554	-27.962518	0.763663	-1.602261	-27.762894	1.556608	-0.581362	-28.089323	-0.012095	-2.070627	-27.758168	1.571175	-0.556844	-28.090125	-0.014621	-2.072689	-27.761714	1.558032	-0.581346	-28.092152	-0.028095	-2.064424	-28.185303	0.996673	-1.126382	-28.177666	0.987517	-1.176239	-27.820672	1.013160	-1.089894	-27.826267	0.978158	-1.169882	-28.175554	0.494078	-1.147786	-27.827916	0.476152	-1.129702	-28.194309	-0.030040	-1.111090	-28.173160	-0.048821	-1.173202	-27.824884	-0.020191	-1.066020	-27.825623	-0.053566	-1.136554
13	0.166719	00:00:00:13	-27.990552	1.657793	-1.239482	-27.949592	1.704149	-1.133350	-28.076789	1.700095	-1.124232	-27.982320	1.565395	-1.159244	-28.005158	1.574221	-1.137775	-28.150863	1.567016	-1.163526	-27.850993	1.567335	-1.140894	-27.938364	1.569451	-0.886640	-27.967833	0.781304	-1.605374	-27.768760	1.576480	-0.560230	-28.098580	-0.015566	-2.060594	-27.770174	1.568963	-0.579023	-28.089290	-0.011241	-2.078643	-27.758392	1.542589	-0.575048	-28.108422	-0.033316	-2.066677	-28.179820	1.006735	-1.125753	-28.175386	0.991293	-1.194632	-27.839131	1.000866	-1.072595	-27.824948	0.994094	-1.158033	-28.200176	0.478719	-1.148907	-27.835653	0.479984	-1.104695	-28.171004	-0.016391	-1.105932	-28.184050	-0.037532	-1.169047	-27.831287	-0.017089	-1.077287	-27.814128	-0.050495	-1.126749
14	0.180613	00:00:00:14	-27.987436	1.655734	-1.232780	-27.959456	1.695204	-1.101625	-28.040146	1.684938	-1.140345	-27.996762	1.565929	-1.162087	-28.014983	1.585778	-1.119497	-28.143027	1.548556	-1.169195	-27.851370	1.564627	-1.125662	-27.947215	1.559114	-0.877677	-27.964121	0.783066	-1.610609	-27.777937	1.556657	-0.580879	-28.084297	-0.022869	-2.068229	-27.759541	1.546188	-0.560150	-28.101884	-0.008436	-2.066727	-27.751211	1.553510	-0.567680	-28.105488	-0.033125	-2.052861	-28.173487	1.014248	-1.125349	-28.161797	0.981255	-1.185924	-27.804999	1.008966	-1.081417	-27.810019	0.983304	-1.140952	-28.183299	0.490695	-1.146692	-27.841013	0.472832	-1.097339	-28.199505	-0.025975	-1.098630	-28.168771	-0.020494	-1.156004	-27.824462	-0.014072	-1.071064	-27.831063	-0.048455	-1.126929
